noise_sigma,blur_sigma,f1_score
0.02,0.0,0.9156479450748546
0.02,0.6,0.8535520167826833
0.02,1.0,0.7162391532373414
0.02,1.4,0.6324020215504911
0.02,1.8,0.5805282731000286
0.02,2.4,0.5154190903022791
0.05,0.0,0.7846667302374368
0.05,0.6,0.7970248879565176
0.05,1.0,0.7085725183560598
0.05,1.4,0.631410317535997
0.05,1.8,0.5792695718508629
0.05,2.4,0.5163345093925813
0.08,0.0,0.6456374558977782
0.08,0.6,0.7181081338800419
0.08,1.0,0.689844569466959
0.08,1.4,0.6301516162868314
0.08,1.8,0.5785448650710403
0.08,2.4,0.5160675121579098
0.12,0.0,0.5078668828072852
0.12,0.6,0.6058167254696291
0.12,1.0,0.6481167159340135
0.12,1.4,0.6218747020120149
0.12,1.8,0.5777057309049299
0.12,2.4,0.5153046629159912
0.18,0.0,0.3800133498617336
0.18,0.6,0.48070944979498426
0.18,1.0,0.5657289978068084
0.18,1.4,0.5803757032516449
0.18,1.8,0.5632878802326691
0.18,2.4,0.5123295508725089
0.24,0.0,0.3003337465433394
0.24,0.6,0.3886716887575093
0.24,1.0,0.49806427004863163
0.24,1.4,0.5392581291122341
0.24,1.8,0.5369695813864785
0.24,2.4,0.503175359969486
